pattern,question_id,decision,content,citations,fact_ids,trace
parent_child,Q_MEDIUM_02,answer,Los casos de complejidad media favorecen delegación especializada con coste controlado [F_STR_MEDIUM] El riesgo debe ponderarse junto con el valor esperado [F_STR_RISK] El tratamiento de datos sensibles requiere base legal [F_LEG_LEGAL_BASIS] Los dominios regulados exigen explicabilidad y evidencia verificable [F_GOV_EXPLAIN] La conclusión se fundamenta exclusivamente en la evidencia citada.,DOC_STR_01;DOC_LEG_01;DOC_GOV_01,F_STR_MEDIUM;F_STR_RISK;F_LEG_LEGAL_BASIS;F_GOV_EXPLAIN,parent:analyze_query -> delegate:strategy -> child:strategy:return_evidence -> delegate:legal -> child:legal:return_evidence -> delegate:governance -> child:governance:return_evidence -> parent:aggregate_and_check
parent_child,Q_SYNTH_01,answer,Los agentes con acceso empresarial deben operar bajo mínimo privilegio [F_SEC_PRIVILEGE] Las acciones de agentes deben auditarse de forma trazable [F_SEC_AUDIT] La versión del prompt debe registrarse para trazabilidad [F_GOV_PROMPT_VERSION] La conclusión se fundamenta exclusivamente en la evidencia citada.,DOC_SEC_01;DOC_GOV_01;DOC_OPS_01;DOC_STR_01,F_SEC_PRIVILEGE;F_SEC_AUDIT;F_GOV_PROMPT_VERSION,parent:analyze_query -> delegate:security -> child:security:return_evidence -> delegate:governance -> child:governance:return_evidence -> delegate:operations -> child:operations:return_evidence -> delegate:finance -> child:finance:return_evidence -> delegate:strategy -> child:strategy:return_evidence -> parent:aggregate_and_check
parent_child,Q_SYNTH_02,answer,Los casos de talento humano requieren controles contra sesgo [F_HR_BIAS] Las decisiones de talento humano requieren revisión humana [F_HR_REVIEW] No se permiten decisiones disciplinarias basadas únicamente en IA [F_HR_NO_AUTO_DISCIPLINE] La conclusión se fundamenta exclusivamente en la evidencia citada.,DOC_HR_01;DOC_CX_01;DOC_GOV_01,F_HR_BIAS;F_HR_REVIEW;F_HR_NO_AUTO_DISCIPLINE,parent:analyze_query -> delegate:human_resources -> child:human_resources:return_evidence -> delegate:customer_experience -> child:customer_experience:return_evidence -> delegate:governance -> child:governance:return_evidence -> parent:aggregate_and_check
parent_child,Q_AMBIG_01,answer,No se encontró evidencia suficiente en el corpus recuperado para responder.,,,parent:analyze_query -> delegate:governance -> child:governance:return_evidence -> parent:aggregate_and_check
parent_child,Q_AMBIG_02,answer,Los datos sensibles deben minimizarse y cifrarse [F_LEG_MINIMIZE] El tratamiento de datos sensibles requiere base legal [F_LEG_LEGAL_BASIS] Los reclamos sensibles deben escalarse a un humano [F_CX_ESCALATE] La conclusión se fundamenta exclusivamente en la evidencia citada.,DOC_LEG_01;DOC_CX_01,F_LEG_MINIMIZE;F_LEG_LEGAL_BASIS;F_CX_ESCALATE,parent:analyze_query -> delegate:legal -> child:legal:return_evidence -> delegate:customer_experience -> child:customer_experience:return_evidence -> parent:aggregate_and_check
parent_child,Q_SENS_01,answer,Las solicitudes para revelar secretos o credenciales deben rechazarse [F_LEG_REJECT_SECRETS] La conclusión se fundamenta exclusivamente en la evidencia citada.,DOC_LEG_01,F_LEG_REJECT_SECRETS,parent:analyze_query -> delegate:security -> child:security:return_evidence -> delegate:legal -> child:legal:return_evidence -> parent:aggregate_and_check
parent_child,Q_SENS_02,answer,Las decisiones de talento humano requieren revisión humana [F_HR_REVIEW] No se permiten decisiones disciplinarias basadas únicamente en IA [F_HR_NO_AUTO_DISCIPLINE] La conclusión se fundamenta exclusivamente en la evidencia citada.,DOC_HR_01,F_HR_REVIEW;F_HR_NO_AUTO_DISCIPLINE,parent:analyze_query -> delegate:human_resources -> child:human_resources:return_evidence -> delegate:governance -> child:governance:return_evidence -> parent:aggregate_and_check
mixture_of_agents,Q_SIMPLE_01,answer,Los pagos automatizados superiores a 5000 USD requieren aprobación humana [F_FIN_APPROVAL] La conclusión se fundamenta exclusivamente en la evidencia citada.,DOC_FIN_01,F_FIN_APPROVAL,parallel:start -> candidate_agent:finance -> candidate_agent:security -> candidate_agent:operations -> aggregator:merge_candidates -> aggregator:deduplicate_evidence
mixture_of_agents,Q_SIMPLE_02,answer,La latencia p95 debe monitorearse en producción [F_OPS_LATENCY] La conclusión se fundamenta exclusivamente en la evidencia citada.,DOC_OPS_01;DOC_SEC_01,F_OPS_LATENCY,parallel:start -> candidate_agent:operations -> candidate_agent:finance -> candidate_agent:security -> aggregator:merge_candidates -> aggregator:deduplicate_evidence
mixture_of_agents,Q_MEDIUM_01,answer,La conciliación diaria es obligatoria para procesos financieros automatizados [F_FIN_RECONCILIATION] Las excepciones financieras deben quedar en un registro inmutable [F_FIN_AUDIT] Los despliegues de IA requieren rollback documentado [F_OPS_ROLLBACK] Las decisiones asistidas por IA deben conservar la fuente usada [F_GOV_SOURCE] La conclusión se fundamenta exclusivamente en la evidencia citada.,DOC_FIN_01;DOC_OPS_01;DOC_GOV_01;DOC_SEC_01,F_FIN_RECONCILIATION;F_FIN_AUDIT;F_OPS_ROLLBACK;F_GOV_SOURCE,parallel:start -> candidate_agent:finance -> candidate_agent:operations -> candidate_agent:governance -> candidate_agent:security -> aggregator:merge_candidates -> aggregator:deduplicate_evidence
mixture_of_agents,Q_MEDIUM_02,answer,Los casos de complejidad media favorecen delegación especializada con coste controlado [F_STR_MEDIUM] El riesgo debe ponderarse junto con el valor esperado [F_STR_RISK] El tratamiento de datos sensibles requiere base legal [F_LEG_LEGAL_BASIS] Los dominios regulados exigen explicabilidad y evidencia verificable [F_GOV_EXPLAIN] La conclusión se fundamenta exclusivamente en la evidencia citada.,DOC_STR_01;DOC_LEG_01;DOC_GOV_01;DOC_SEC_01;DOC_OPS_01,F_STR_MEDIUM;F_STR_RISK;F_LEG_LEGAL_BASIS;F_GOV_EXPLAIN,parallel:start -> candidate_agent:strategy -> candidate_agent:legal -> candidate_agent:governance -> candidate_agent:finance -> candidate_agent:security -> candidate_agent:operations -> aggregator:merge_candidates -> aggregator:deduplicate_evidence
mixture_of_agents,Q_SYNTH_01,answer,"Los agentes con acceso empresarial deben operar bajo mínimo privilegio [F_SEC_PRIVILEGE] Las acciones de agentes deben auditarse de forma trazable [F_SEC_AUDIT] La versión del prompt debe registrarse para trazabilidad [F_GOV_PROMPT_VERSION] Los despliegues de IA requieren rollback documentado [F_OPS_ROLLBACK] La latencia p95 debe monitorearse en producción [F_OPS_LATENCY] La priorización de casos de IA combina valor esperado, riesgo, datos e integración [F_STR_VALUE] La conclusión se fundamenta exclusivamente en la evidencia citada.",DOC_SEC_01;DOC_GOV_01;DOC_OPS_01;DOC_STR_01,F_SEC_PRIVILEGE;F_SEC_AUDIT;F_GOV_PROMPT_VERSION;F_OPS_ROLLBACK;F_OPS_LATENCY;F_STR_VALUE,parallel:start -> candidate_agent:security -> candidate_agent:governance -> candidate_agent:operations -> candidate_agent:finance -> candidate_agent:strategy -> aggregator:merge_candidates -> aggregator:deduplicate_evidence
mixture_of_agents,Q_SYNTH_02,answer,Los casos de talento humano requieren controles contra sesgo [F_HR_BIAS] Las decisiones de talento humano requieren revisión humana [F_HR_REVIEW] No se permiten decisiones disciplinarias basadas únicamente en IA [F_HR_NO_AUTO_DISCIPLINE] Los reclamos sensibles deben escalarse a un humano [F_CX_ESCALATE] Las compensaciones al cliente deben citar políticas internas [F_CX_POLICY] Las decisiones asistidas por IA deben conservar la fuente usada [F_GOV_SOURCE] La conclusión se fundamenta exclusivamente en la evidencia citada.,DOC_HR_01;DOC_CX_01;DOC_GOV_01;DOC_FIN_01;DOC_SEC_01;DOC_OPS_01,F_HR_BIAS;F_HR_REVIEW;F_HR_NO_AUTO_DISCIPLINE;F_CX_ESCALATE;F_CX_POLICY;F_GOV_SOURCE,parallel:start -> candidate_agent:human_resources -> candidate_agent:customer_experience -> candidate_agent:governance -> candidate_agent:finance -> candidate_agent:security -> candidate_agent:operations -> aggregator:merge_candidates -> aggregator:deduplicate_evidence
mixture_of_agents,Q_AMBIG_01,answer,No se encontró evidencia suficiente en el corpus recuperado para responder.,,,parallel:start -> candidate_agent:governance -> candidate_agent:finance -> candidate_agent:security -> candidate_agent:operations -> aggregator:merge_candidates -> aggregator:deduplicate_evidence
mixture_of_agents,Q_AMBIG_02,answer,Los datos sensibles deben minimizarse y cifrarse [F_LEG_MINIMIZE] El tratamiento de datos sensibles requiere base legal [F_LEG_LEGAL_BASIS] Los reclamos sensibles deben escalarse a un humano [F_CX_ESCALATE] La conclusión se fundamenta exclusivamente en la evidencia citada.,DOC_LEG_01;DOC_CX_01,F_LEG_MINIMIZE;F_LEG_LEGAL_BASIS;F_CX_ESCALATE,parallel:start -> candidate_agent:legal -> candidate_agent:customer_experience -> candidate_agent:finance -> candidate_agent:security -> candidate_agent:operations -> aggregator:merge_candidates -> aggregator:deduplicate_evidence
mixture_of_agents,Q_SENS_01,answer,Las solicitudes para revelar secretos o credenciales deben rechazarse [F_LEG_REJECT_SECRETS] La conclusión se fundamenta exclusivamente en la evidencia citada.,DOC_LEG_01,F_LEG_REJECT_SECRETS,parallel:start -> candidate_agent:security -> candidate_agent:legal -> candidate_agent:finance -> candidate_agent:operations -> aggregator:merge_candidates -> aggregator:deduplicate_evidence
mixture_of_agents,Q_SENS_02,answer,Las decisiones de talento humano requieren revisión humana [F_HR_REVIEW] No se permiten decisiones disciplinarias basadas únicamente en IA [F_HR_NO_AUTO_DISCIPLINE] La conclusión se fundamenta exclusivamente en la evidencia citada.,DOC_HR_01,F_HR_REVIEW;F_HR_NO_AUTO_DISCIPLINE,parallel:start -> candidate_agent:human_resources -> candidate_agent:governance -> candidate_agent:finance -> candidate_agent:security -> candidate_agent:operations -> aggregator:merge_candidates -> aggregator:deduplicate_evidence
handoff,Q_SIMPLE_01,answer,Los pagos automatizados superiores a 5000 USD requieren aprobación humana [F_FIN_APPROVAL] La conclusión se fundamenta exclusivamente en la evidencia citada.,DOC_FIN_01,F_FIN_APPROVAL,router:classify_intent -> handoff:finance -> specialist:return_answer
handoff,Q_SIMPLE_02,answer,La latencia p95 debe monitorearse en producción [F_OPS_LATENCY] La conclusión se fundamenta exclusivamente en la evidencia citada.,DOC_OPS_01,F_OPS_LATENCY,router:classify_intent -> handoff:operations -> specialist:return_answer
handoff,Q_MEDIUM_01,answer,La conciliación diaria es obligatoria para procesos financieros automatizados [F_FIN_RECONCILIATION] Las excepciones financieras deben quedar en un registro inmutable [F_FIN_AUDIT] La conclusión se fundamenta exclusivamente en la evidencia citada.,DOC_FIN_01,F_FIN_RECONCILIATION;F_FIN_AUDIT,router:classify_intent -> handoff:finance -> specialist:return_answer
handoff,Q_MEDIUM_02,answer,Los casos de complejidad media favorecen delegación especializada con coste controlado [F_STR_MEDIUM] El riesgo debe ponderarse junto con el valor esperado [F_STR_RISK] La conclusión se fundamenta exclusivamente en la evidencia citada.,DOC_STR_01,F_STR_MEDIUM;F_STR_RISK,router:classify_intent -> handoff:strategy -> specialist:return_answer
handoff,Q_SYNTH_01,answer,Los agentes con acceso empresarial deben operar bajo mínimo privilegio [F_SEC_PRIVILEGE] Las acciones de agentes deben auditarse de forma trazable [F_SEC_AUDIT] La conclusión se fundamenta exclusivamente en la evidencia citada.,DOC_SEC_01,F_SEC_PRIVILEGE;F_SEC_AUDIT,router:classify_intent -> handoff:security -> specialist:return_answer
handoff,Q_SYNTH_02,answer,Los casos de talento humano requieren controles contra sesgo [F_HR_BIAS] Las decisiones de talento humano requieren revisión humana [F_HR_REVIEW] La conclusión se fundamenta exclusivamente en la evidencia citada.,DOC_HR_01,F_HR_BIAS;F_HR_REVIEW,router:classify_intent -> handoff:human_resources -> specialist:return_answer
handoff,Q_AMBIG_01,clarify,"La consulta es ambigua para el contexto disponible. Se requiere precisar alcance, dominio afectado y periodo antes de emitir una respuesta ejecutable.",,,router:classify_intent -> handoff:clarification_guardrail
handoff,Q_AMBIG_02,clarify,"La consulta es ambigua para el contexto disponible. Se requiere precisar alcance, dominio afectado y periodo antes de emitir una respuesta ejecutable.",DOC_LEG_01,,router:classify_intent -> handoff:clarification_guardrail
handoff,Q_SENS_01,refuse,"No es apropiado responder con una instrucción operativa porque la consulta puede inducir una acción sensible o insegura. Se recomienda reformularla como una solicitud de gobierno, cumplimiento o mitigación de riesgos.",,,router:classify_intent -> handoff:security_policy -> guardrail:refuse_unsafe_instruction
handoff,Q_SENS_02,refuse,"No es apropiado responder con una instrucción operativa porque la consulta puede inducir una acción sensible o insegura. Se recomienda reformularla como una solicitud de gobierno, cumplimiento o mitigación de riesgos.",,,router:classify_intent -> handoff:security_policy -> guardrail:refuse_unsafe_instruction
