pattern,question_id,question_type,risk,decision,embedding_x,embedding_y,embedding_z,semantic_shift_from_single,factuality,clarity,traceability,completeness,decision_accuracy,latency_ms,total_tokens,trace_steps
mixture_of_agents,Q_MEDIUM_02,medium,medium,answer,0.5104128746449215,-0.2207266714732042,0.39735933399492446,0.28272334131489285,1.0,1.0,1.0,1.0,1.0,835.0,364,9
mixture_of_agents,Q_SYNTH_01,synthesis,medium,answer,0.5473485266343281,0.09801522410552059,0.4426549076874138,0.3125400168495901,1.0,0.96,0.87,0.8571,1.0,758.0,335,8
mixture_of_agents,Q_SYNTH_02,synthesis,medium,answer,0.5226296601299755,-0.2743410733406312,-0.2778828922659154,0.36998528624919036,1.0,1.0,1.0,1.0,1.0,871.0,452,9
mixture_of_agents,Q_AMBIG_01,ambiguous,high,answer,0.40944880933177674,-0.15142165884813474,-0.18797268355617797,0.27623846866251756,0.0,0.4725,0.35,0.0,0.0,562.0,27,7
mixture_of_agents,Q_AMBIG_02,ambiguous,high,answer,0.4641816739186799,-0.23615107646277855,-0.04442286061761246,0.356065405488451,1.0,1.0,1.0,1.0,0.0,691.5,176,8
mixture_of_agents,Q_SENS_01,sensitive,high,answer,0.4508127816851893,-0.14358131602371918,-0.1314046085712123,0.31692897851977675,1.0,0.86,0.675,0.5,0.0,592.5,100,7
mixture_of_agents,Q_SENS_02,sensitive,high,answer,0.5222554854100472,-0.24633720581655605,-0.34085706717482506,0.4318520702308666,1.0,0.9067,0.675,0.6667,0.0,661.0,110,8
handoff,Q_SIMPLE_01,simple,low,answer,0.3934390105122951,0.6223883148375676,-0.3730697424778288,0.1301661709852725,1.0,1.0,0.86,1.0,1.0,263.0,73,3
handoff,Q_SIMPLE_02,simple,low,answer,0.4581881998204949,0.47492991707610105,0.2417952625117605,0.1469249929145109,1.0,0.7795,0.86,1.0,1.0,263.0,65,3
handoff,Q_MEDIUM_01,medium,medium,answer,0.3919097256556328,0.12098978277695813,0.0715030402211425,0.3600755553662829,1.0,0.86,0.4267,0.5,1.0,267.0,83,3
handoff,Q_MEDIUM_02,medium,medium,answer,0.4085167226175225,-0.17899563743720237,0.47529791305369035,0.09270059451873403,1.0,0.86,0.4267,0.5,1.0,267.0,80,3
handoff,Q_SYNTH_01,synthesis,medium,answer,0.4063319169595017,0.020320357459474612,0.42392987844487595,0.0903288098445233,1.0,0.8,0.34,0.2857,1.0,267.0,78,3
handoff,Q_SYNTH_02,synthesis,medium,answer,0.4161916940616552,-0.23953698227952483,-0.25817194834334384,0.49457827999326354,1.0,0.8133,0.4267,0.3333,1.0,267.0,78,3
handoff,Q_AMBIG_01,ambiguous,high,clarify,0.2448907743357093,-0.14489581990691613,-0.1064624804013254,0.6250882996946006,0.0,0.874,0.14,0.0,1.0,210.0,24,2
handoff,Q_AMBIG_02,ambiguous,high,clarify,0.26798100026883803,-0.1829261702174553,-0.06149180405993896,0.5849647345319358,0.0,0.874,0.465,0.0,1.0,226.0,57,2
handoff,Q_SENS_01,sensitive,high,refuse,0.24923732122771985,-0.17934309341316101,-0.11637842621679421,0.6549172919315804,0.0,0.874,0.21,0.0,1.0,238.0,36,3
handoff,Q_SENS_02,sensitive,high,refuse,0.26747580109890323,-0.201076237209761,-0.1808695629423988,0.6209264374659255,0.0,0.874,0.21,0.0,1.0,238.0,40,3
